n_amenageur;n_operateur;n_enseigne;ID_station;n_station;ad_station;code_insee;Xlongitude;Xlatitude;nbre_pdc;ID_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
La Cheneaudière & Spa - Relais & Châteaux;La Cheneaudière & Spa - Relais & Châteaux;TESLA Recharge à Destination;;La Cheneaudière & Spa - Relais & Châteaux;3 rue du Vieux Moulin, Colroy La Roche,  67420 France;67377;7.18393;48.391112;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Cheneaudière & Spa - Relais & Châteaux;La Cheneaudière & Spa - Relais & Châteaux;TESLA Recharge à Destination;;La Cheneaudière & Spa - Relais & Châteaux;3 rue du Vieux Moulin, Colroy La Roche,  67420 France;67377;7.18393;48.391112;3;;14;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Cheneaudière & Spa - Relais & Châteaux;La Cheneaudière & Spa - Relais & Châteaux;TESLA Recharge à Destination;;La Cheneaudière & Spa - Relais & Châteaux;3 rue du Vieux Moulin, Colroy La Roche,  67420 France;67377;7.18393;48.391112;3;;14;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Coquillade Provence Village;La Coquillade Provence Village;TESLA Recharge à Destination;;La Coquillade Provence Village;Le Perrotet, Hameau la Coquillade, Gargas,  84400 France;84048;5.321029;43.87939;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Coquillade Provence Village;La Coquillade Provence Village;TESLA Recharge à Destination;;La Coquillade Provence Village;Le Perrotet, Hameau la Coquillade, Gargas,  84400 France;84048;5.321029;43.87939;3;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Coquillade Provence Village;La Coquillade Provence Village;TESLA Recharge à Destination;;La Coquillade Provence Village;Le Perrotet, Hameau la Coquillade, Gargas,  84400 France;84048;5.321029;43.87939;3;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Ferme du Chozal;La Ferme du Chozal;TESLA Recharge à Destination;;La Ferme du Chozal;361 route des Ccombes, Hauteluce,  73620 France;73132;6.580626;45.749794;2;;8;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Ferme du Chozal;La Ferme du Chozal;TESLA Recharge à Destination;;La Ferme du Chozal;361 route des Ccombes, Hauteluce,  73620 France;73132;6.580626;45.749794;2;;8;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Gentilhommiere;La Gentilhommiere;TESLA Recharge à Destination;;La Gentilhommiere;13 Route de la Serree, Nuits-Saint-Georges,  21700 France;21714;4.928141;47.145443;2;;22;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
La Gentilhommiere;La Gentilhommiere;TESLA Recharge à Destination;;La Gentilhommiere;13 Route de la Serree, Nuits-Saint-Georges,  21700 France;21714;4.928141;47.145443;2;;22;T2;se renseigner auprès de l'établissement;selon plages horaires;Réservé à la clientèle de l’établissement;20181130
La Grande Maison de Bernard Magrez ;La Grande Maison de Bernard Magrez ;TESLA Recharge à Destination;;La Grande Maison de Bernard Magrez ;10 rue Labottière, Bordeaux,  33000 France;33063;-0.589105;44.853058;3;;11;T2;gratuit Tesla;selon plages horaires;Réservé à la clientèle de l’établissement - compatible uniquement avec les véhicules Tesla (hors Roadster) ;20181130
