,Départements,Année,Essence + Superéthanol < 6CV,Essence + Superéthanol 6 à 7CV,Essence + Superéthanol 8CV et +,Hybride essence < 6CV,Hybride essence 6CV et +,Gazole < 6CV,Gazole 6CV et +,Essence-GPL < 6CV,Essence-GPL 6CV et +,Electricité,Total,Hybride gazole
619,Marne,2019,5616.0,3295.0,1548.0,613.0,384.0,1542.0,5311.0,6.0,13.0,273.0,18722.0,121.0
620,Mayenne,2010,1250.0,274.0,89.0,11.0,3.0,2350.0,2441.0,356.0,0.0,0.0,6774.0,0.0
621,Mayenne,2011,1241.0,273.0,108.0,25.0,5.0,2050.0,2881.0,62.0,1.0,5.0,6652.0,0.0
622,Mayenne,2012,874.0,276.0,95.0,10.0,71.0,1814.0,2665.0,3.0,0.0,19.0,5858.0,29.0
623,Mayenne,2013,1035.0,392.0,106.0,80.0,5.0,1924.0,2052.0,10.0,3.0,25.0,5669.0,37.0
624,Mayenne,2014,1279.0,416.0,114.0,74.0,8.0,1894.0,1798.0,7.0,3.0,23.0,5651.0,35.0
625,Mayenne,2015,1496.0,590.0,133.0,79.0,23.0,1531.0,1877.0,5.0,4.0,41.0,5847.0,68.0
626,Mayenne,2016,1522.0,825.0,176.0,106.0,36.0,1410.0,1913.0,1.0,0.0,91.0,6101.0,21.0
627,Mayenne,2017,1532.0,998.0,260.0,175.0,45.0,1291.0,1873.0,0.0,5.0,77.0,6264.0,8.0
628,Mayenne,2018,1991.0,1269.0,248.0,280.0,59.0,901.0,1699.0,4.0,4.0,114.0,6577.0,8.0
629,Mayenne,2019,1915.0,1043.0,407.0,211.0,110.0,656.0,1776.0,11.0,2.0,126.0,6295.0,38.0
630,Meurthe-et-Moselle,2010,4998.0,1129.0,551.0,73.0,31.0,9411.0,8812.0,807.0,2.0,0.0,25815.0,0.0
631,Meurthe-et-Moselle,2011,4688.0,1175.0,551.0,102.0,13.0,8016.0,9370.0,123.0,3.0,14.0,24057.0,0.0
632,Meurthe-et-Moselle,2012,4020.0,1152.0,496.0,34.0,160.0,6742.0,7463.0,32.0,1.0,43.0,20250.0,107.0
633,Meurthe-et-Moselle,2013,4292.0,1341.0,480.0,253.0,19.0,6326.0,6195.0,21.0,14.0,71.0,19154.0,141.0
634,Meurthe-et-Moselle,2014,4707.0,1395.0,463.0,240.0,18.0,6110.0,5821.0,17.0,8.0,103.0,18989.0,106.0
635,Meurthe-et-Moselle,2015,5316.0,1839.0,746.0,255.0,55.0,5180.0,5742.0,10.0,9.0,132.0,19424.0,138.0
636,Meurthe-et-Moselle,2016,5863.0,2583.0,1013.0,255.0,114.0,4594.0,5596.0,1.0,2.0,162.0,20234.0,46.0
637,Meurthe-et-Moselle,2017,6097.0,3319.0,1215.0,484.0,131.0,4278.0,5570.0,10.0,4.0,226.0,21354.0,13.0
638,Meurthe-et-Moselle,2018,6603.0,3795.0,1256.0,653.0,194.0,3034.0,5088.0,16.0,15.0,296.0,20968.0,16.0
639,Meurthe-et-Moselle,2019,6898.0,3682.0,1605.0,604.0,344.0,2120.0,5295.0,13.0,15.0,401.0,21072.0,95.0
640,Meuse,2010,919.0,150.0,86.0,12.0,2.0,2339.0,2124.0,188.0,5.0,0.0,5825.0,0.0
641,Meuse,2011,910.0,232.0,93.0,22.0,5.0,1869.0,2358.0,25.0,3.0,5.0,5522.0,0.0
