,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
56,2019-09-30,30222.005091679133,29324.496855214562,31665.417222794782,30222.005091679133,30222.005091679133,257.4865302926414,257.4865302926414,257.4865302926414,257.4865302926414,257.4865302926414,257.4865302926414,0.0,0.0,0.0,30479.491621971774
57,2019-10-31,30649.812251764546,28837.449702628026,31118.892057860307,30649.812251764546,30649.812251764546,-706.933996742667,-706.933996742667,-706.933996742667,-706.933996742667,-706.933996742667,-706.933996742667,0.0,0.0,0.0,29942.87825502188
58,2019-11-30,31063.81918087946,29794.025166774918,32115.643505157816,31063.81918087946,31063.81918087946,-120.33489719302693,-120.33489719302693,-120.33489719302693,-120.33489719302693,-120.33489719302693,-120.33489719302693,0.0,0.0,0.0,30943.484283686434
59,2019-12-31,31491.626340964867,29449.58231952027,31807.056991962534,31491.626340964867,31491.626340964867,-846.8351090549269,-846.8351090549269,-846.8351090549269,-846.8351090549269,-846.8351090549269,-846.8351090549269,0.0,0.0,0.0,30644.79123190994
60,2020-01-31,31919.433501050287,30582.14523233113,32886.971554033036,31919.197697005016,31919.66836742867,-137.9132893799004,-137.9132893799004,-137.9132893799004,-137.9132893799004,-137.9132893799004,-137.9132893799004,0.0,0.0,0.0,31781.520211670388
61,2020-02-29,32319.640199194695,31055.878667811154,33332.19087975809,32318.68424810153,32320.59748805546,-124.12140300389309,-124.12140300389309,-124.12140300389309,-124.12140300389309,-124.12140300389309,-124.12140300389309,0.0,0.0,0.0,32195.5187961908
62,2020-03-31,32747.447359280115,31830.3858120066,34147.88277673536,32745.187079004743,32749.535120281973,262.8439872556721,262.8439872556721,262.8439872556721,262.8439872556721,262.8439872556721,262.8439872556721,0.0,0.0,0.0,33010.291346535785
63,2020-04-30,33161.45428839503,32204.08530573813,34474.15762357246,33157.747633104744,33164.90666811809,149.5299421812988,149.5299421812988,149.5299421812988,149.5299421812988,149.5299421812988,149.5299421812988,0.0,0.0,0.0,33310.98423057632
64,2020-05-31,33589.261448480436,32771.65714293571,35028.34046307241,33584.02098520317,33594.25864677907,361.47864347812543,361.47864347812543,361.47864347812543,361.47864347812543,361.47864347812543,361.47864347812543,0.0,0.0,0.0,33950.74009195856
65,2020-06-30,34003.26837759535,33577.15470928738,35903.33777160164,33996.20819794364,34009.9373977506,703.1959624516908,703.1959624516908,703.1959624516908,703.1959624516908,703.1959624516908,703.1959624516908,0.0,0.0,0.0,34706.46434004704
66,2020-07-31,34431.075537680765,33629.19106457827,36027.516587463244,34422.07489097836,34439.70128349374,408.7564135645712,408.7564135645712,408.7564135645712,408.7564135645712,408.7564135645712,408.7564135645712,0.0,0.0,0.0,34839.83195124534
67,2020-08-31,34858.882697766174,33608.84536482854,35910.51516821924,34847.58640644493,34869.813184105886,-100.38287893413727,-100.38287893413727,-100.38287893413727,-100.38287893413727,-100.38287893413727,-100.38287893413727,0.0,0.0,0.0,34758.49981883204
68,2020-09-30,35272.889626881086,33395.31695723438,35717.04763537389,35259.51407044603,35285.67411656585,-704.7152929526154,-704.7152929526154,-704.7152929526154,-704.7152929526154,-704.7152929526154,-704.7152929526154,0.0,0.0,0.0,34568.17433392847
69,2020-10-31,35700.696786966495,34519.28785794572,36777.911623789434,35684.7090069667,35716.46132318619,-86.19311930488008,-86.19311930488008,-86.19311930488008,-86.19311930488008,-86.19311930488008,-86.19311930488008,0.0,0.0,0.0,35614.503667661615
